Car,Price,Driver age,Experience,Car age,Gender,Ownership type,Vehicle class,Annual mileage
Scion,0.340,27,2,5.980,1,0,3,51.946
Lexus,1.543,21,4,3.299,1,0,3,57.773
Haval,1.856,34,4,2.396,1,1,0,36.134
Changan,0.514,28,8,3.925,0,1,2,43.479
Geely,0.724,21,3,1.137,1,0,2,32.509
Москвич,0.451,49,21,0.397,0,1,2,19.159
Mercedes-Benz,0.741,33,0,2.977,0,0,0,10.125
Mitsubishi,1.609,41,18,1.302,0,0,3,24.552
Chevrolet,2.477,27,9,6.887,0,1,0,9.157
GAC,0.468,19,1,4.976,0,0,1,3.418
Renault,0.592,46,19,2.979,1,0,0,7.357
Ravon,2.168,35,12,7.409,1,0,1,27.525
BYD,2.145,28,7,1.297,0,0,0,6.810
Maybach,2.293,48,18,0.052,0,0,1,66.871
Skoda,0.460,46,17,3.669,1,0,2,37.618
Skoda,1.554,38,14,7.096,0,0,2,7.604
Maserati,1.823,33,2,4.017,1,0,2,10.260
Luxgen,1.073,21,0,0.960,0,1,1,27.577
Hyundai,1.681,29,8,4.920,0,0,0,28.125
Genesis,2.023,34,5,2.093,0,0,1,56.755
Skoda,0.792,44,10,5.962,0,0,0,13.002
Haval,3.483,36,13,1.324,0,0,0,13.875
Nissan,1.864,33,5,1.965,0,0,2,12.012
Jeep,0.549,29,8,9.503,0,0,0,9.998
Volkswagen,0.979,44,9,1.715,0,0,2,29.918
Ford,2.267,51,12,3.061,0,0,2,68.997
Renault,2.792,19,1,6.999,1,0,0,18.300
ZAZ,0.373,35,12,2.815,0,0,3,66.657
ZAZ,1.669,28,8,0.583,1,0,3,19.418
Lancia,0.235,44,21,1.276,0,0,2,11.558
Great Wall,1.536,35,2,7.314,0,1,2,35.747
Nissan,2.097,43,12,2.719,0,0,1,4.519
Volkswagen,1.395,36,16,3.461,0,0,2,66.724
Subaru,1.610,20,1,4.808,1,1,0,21.759
Rolls-Royce,0.890,23,5,5.353,0,0,2,6.448
Acura,0.538,26,7,4.608,0,1,0,36.097
Skoda,0.362,44,19,1.286,0,1,3,41.355
Foton,2.205,44,16,1.726,0,0,2,84.429
Mitsubishi,1.839,32,10,5.149,1,0,2,55.766
Mercedes-Benz,0.479,47,17,1.206,0,0,1,24.403
Porsche,0.637,28,7,2.286,1,0,2,10.427
Toyota,2.137,33,4,3.516,1,0,3,28.670
Oldsmobile,3.266,58,18,3.551,0,0,0,60.341
Mitsubishi,2.827,34,7,1.525,0,0,2,27.258
Volkswagen,2.299,24,5,6.356,1,0,0,19.530
Scion,0.893,41,16,1.677,0,1,0,13.015
Mazda,1.411,31,5,4.663,1,0,0,30.816
Toyota,1.403,39,21,3.923,0,0,0,58.447
Audi,1.002,43,7,2.953,1,1,0,55.708
Lancia,0.796,47,14,12.000,1,1,2,36.959
Mitsubishi,1.976,45,11,5.881,1,0,0,56.653
Geely,0.679,40,8,1.090,1,0,0,43.790
Москвич,1.206,43,15,1.538,0,0,0,3.692
Ford,0.250,37,17,5.138,0,0,3,82.502
Datsun,1.422,37,14,2.012,1,0,0,45.103
Maserati,2.130,53,8,1.013,1,0,0,24.463
Zotye,2.033,39,12,1.649,0,0,2,25.619
Isuzu,0.167,26,6,3.135,0,0,0,95.218
Ford,0.507,31,11,4.717,0,0,0,18.874
Aston Martin,0.444,31,8,7.225,0,0,2,39.926
Maserati,0.521,51,20,1.848,0,1,0,71.262
DS,0.238,25,5,1.014,0,0,0,25.651
Chevrolet,0.388,30,8,2.429,0,0,2,20.366
Hyundai,3.747,28,10,1.231,0,0,2,46.509
Honda,1.651,22,0,8.776,1,1,0,25.750
Daewoo,0.533,25,2,1.230,0,0,1,31.098
Lamborghini,1.738,35,14,2.317,0,0,2,29.610
Saab,2.199,44,27,0.548,1,0,0,25.724
Brilliance,4.360,21,2,3.886,1,0,0,23.439
УАЗ,0.173,37,12,1.107,0,0,1,16.097
GMC,1.588,29,2,8.004,0,0,0,37.650
FAW,1.622,19,1,1.967,0,0,0,52.148
Volkswagen,1.616,27,10,3.079,1,0,0,31.602
Smart,1.486,48,11,5.239,0,0,0,54.532
Audi,3.605,38,20,5.451,0,0,0,82.738
Mercedes-Benz,3.084,33,11,2.559,0,1,0,58.306
DS,0.447,44,10,6.780,0,0,2,29.163
Renault,0.348,44,26,3.165,0,0,2,36.490
Lada (ВАЗ),1.552,40,16,3.287,0,0,1,51.819
Brilliance,0.294,51,18,4.184,1,0,0,6.307
Foton,0.385,30,11,2.687,1,0,0,77.851
Mazda,0.275,34,9,1.807,1,1,1,67.141
Nissan,3.457,41,13,6.722,0,0,0,11.901
Bugatti,1.641,50,11,0.629,1,0,2,18.268
Changan,1.089,33,3,6.005,0,0,2,50.294
Citroen,2.546,41,2,5.173,0,0,1,27.207
Oldsmobile,2.246,48,15,5.276,0,0,0,32.527
SEAT,0.452,39,5,7.401,0,0,0,42.325
Toyota,1.771,32,12,0.170,0,1,0,51.992
Haima,0.805,35,9,4.289,0,0,0,9.868
Toyota,1.476,41,14,1.518,1,0,0,17.317
Renault,3.280,19,0,0.777,0,0,1,18.987
Ford,0.214,36,16,1.971,1,0,3,28.168
Pontiac,2.713,66,31,1.525,0,0,1,15.806
FAW,1.236,41,10,6.955,1,0,2,22.958
Audi,1.629,30,1,6.514,0,0,0,25.169
Lamborghini,0.378,31,10,3.538,0,0,0,29.943
Mercedes-Benz,0.873,23,4,3.192,0,0,1,50.207
Rover,1.598,61,17,2.708,0,0,0,28.923
Fiat,0.791,21,2,10.675,0,0,3,7.259
ГАЗ,1.068,24,6,3.470,1,1,0,100.977
Lexus,2.042,47,13,1.779,0,0,1,20.082
Land Rover,1.817,34,3,0.210,1,0,0,15.975
Ravon,1.513,21,3,4.431,1,0,0,49.966
Citroen,0.866,37,8,0.615,0,0,1,43.044
BYD,1.428,42,19,1.253,0,0,1,25.240
GMC,0.235,44,18,8.987,0,0,2,37.482
Peugeot,0.930,36,18,3.258,0,0,1,14.847
Chery,2.318,35,4,2.171,0,0,1,14.199
Suzuki,0.159,52,5,3.999,0,0,2,9.725
Bugatti,0.329,40,19,6.900,1,0,0,12.085
DongFeng,2.737,23,2,4.541,0,0,3,7.138
Haval,0.412,33,9,2.963,1,0,0,12.195
Maserati,0.183,32,4,2.455,0,0,2,27.498
Volkswagen,0.916,27,4,4.928,1,0,0,55.438
BMW,0.261,23,3,4.292,0,0,2,41.265
Subaru,0.625,42,15,3.001,1,1,2,16.374
Chevrolet,1.585,24,3,1.510,1,0,2,21.980
Audi,1.203,22,4,3.426,1,0,0,7.934
Brilliance,0.449,21,1,0.949,1,0,0,28.092
Jeep,1.462,30,10,0.459,1,0,3,41.975
Bentley,0.700,35,6,5.989,0,0,0,60.040
Lamborghini,1.827,31,11,3.148,0,0,0,10.322
Ferrari,2.266,31,5,3.391,0,0,3,25.184
Land Rover,0.486,33,5,3.417,0,0,0,19.939
Citroen,2.922,30,12,1.929,0,1,3,15.804
Mini,2.081,33,9,6.158,0,0,2,65.464
Rover,1.223,45,21,2.718,0,1,2,21.724
Opel,0.182,33,4,5.217,0,0,2,25.593
Mercury,0.311,25,7,3.470,0,0,2,56.318
Hyundai,2.857,31,9,4.500,0,0,1,23.130
Bentley,2.125,38,20,0.170,1,1,3,21.433
Kia,1.239,19,2,4.361,0,1,2,8.396
Bugatti,0.717,55,11,5.888,0,0,2,19.722
ГАЗ,0.817,38,21,3.708,0,0,0,15.892
Ford,2.059,21,1,5.932,1,0,0,12.891
DongFeng,1.881,40,11,8.040,1,0,0,18.288
Datsun,0.696,22,2,2.820,1,0,0,61.898
Maybach,1.058,62,25,1.130,0,0,0,70.667
Subaru,1.923,46,15,0.685,0,0,0,53.621
Москвич,1.629,37,17,10.027,1,1,2,38.089
Daewoo,1.808,60,14,0.903,1,0,2,32.190
Volvo,0.761,21,2,0.167,0,0,2,31.650
Maybach,2.079,22,2,0.811,0,0,0,53.496
Ford,2.640,39,20,2.257,1,0,1,42.589
DongFeng,2.814,24,4,7.862,0,0,3,14.296
Chevrolet,1.316,30,4,0.011,0,0,0,52.921
SsangYong,0.560,24,2,5.058,0,0,0,16.730
Volkswagen,2.522,78,18,1.415,1,0,2,20.193
Alfa Romeo,1.358,22,3,2.209,0,1,2,53.832
Lada (ВАЗ),1.990,41,17,5.975,0,1,0,48.015
Lexus,0.197,36,2,7.106,0,1,2,56.006
Smart,1.055,38,9,0.484,1,0,0,32.134
Bentley,0.648,19,2,6.257,1,0,1,33.600
Москвич,0.592,41,10,4.203,0,0,0,19.730
Mini,2.565,20,3,3.553,0,0,0,12.172
Oldsmobile,1.614,30,0,2.334,0,0,2,39.158
Pontiac,1.386,25,1,3.436,0,0,1,10.173
Isuzu,0.949,46,20,2.865,1,1,0,74.577
JAC,1.150,45,12,3.764,0,0,0,49.848
Cadillac,3.266,48,23,2.097,0,0,0,69.512
Ford,3.792,25,3,0.644,1,0,0,28.231
Daihatsu,2.279,37,20,5.552,0,0,0,17.038
Mitsubishi,0.176,24,1,4.612,0,0,1,20.294
Maybach,0.454,24,1,7.142,0,0,2,28.407
Nissan,2.230,41,17,0.508,1,0,0,80.198
Infiniti,1.281,32,7,6.505,0,0,2,15.242
Aston Martin,2.063,43,9,0.936,0,0,0,57.291
Skoda,2.153,68,21,6.373,0,0,2,37.454
Changan,3.069,47,23,2.567,0,0,1,18.381
Ford,2.000,29,5,3.656,0,0,0,46.310
Chevrolet,0.765,20,2,0.842,0,0,1,14.471
Land Rover,1.074,19,1,1.339,0,0,0,53.584
Smart,2.543,36,10,5.987,0,0,0,10.643
Lifan,1.624,42,16,5.190,1,0,2,12.034
Volkswagen,0.344,40,5,7.110,1,0,0,41.083
Mini,1.499,23,4,4.116,0,1,0,34.739
Zotye,1.679,18,0,3.896,1,0,1,8.669
Opel,1.454,26,3,6.409,0,0,0,12.819
Citroen,0.866,29,7,5.741,1,0,3,71.320
Renault,1.437,29,10,0.718,0,0,2,70.496
Porsche,0.314,61,12,9.310,0,0,1,15.807
Alfa Romeo,0.944,39,16,0.811,0,0,0,4.498
Kia,0.376,46,12,5.336,0,0,0,79.786
Jeep,2.790,54,15,1.795,0,1,2,50.323
Cadillac,0.732,33,3,7.288,0,0,0,7.585
Ravon,0.236,42,18,3.265,0,0,3,44.487
Dodge,0.178,23,2,1.168,1,0,0,49.650
Mercury,3.463,48,15,1.760,0,0,0,39.033
Mazda,0.724,23,0,3.006,1,0,0,37.266
ГАЗ,1.955,23,0,2.352,0,0,0,26.796
BMW,3.262,27,9,7.149,0,0,0,71.742
Alfa Romeo,2.117,30,2,5.953,0,0,0,27.919
Porsche,0.225,22,1,0.419,0,0,2,13.149
Foton,2.343,54,20,1.444,1,0,0,42.656
Nissan,0.313,32,5,1.990,0,0,1,63.396
Maserati,0.410,40,13,6.845,1,0,0,28.331
Land Rover,1.425,22,4,4.337,0,0,0,45.047
Maserati,0.782,44,10,3.468,0,0,0,28.235
Haval,0.900,63,14,7.423,0,0,0,8.576
Brilliance,1.878,46,23,3.226,1,1,0,29.011
Ravon,0.693,55,26,3.077,0,0,0,30.935
Renault,0.676,39,2,4.695,0,0,2,26.044
Lancia,0.206,25,6,3.718,1,0,0,25.655
Citroen,0.913,43,23,5.906,0,0,2,14.688
Bentley,1.857,26,7,4.299,1,0,1,36.559
Jeep,0.936,26,1,8.057,0,1,2,7.264
DongFeng,1.540,44,4,0.340,0,0,0,39.684
Zotye,1.101,40,10,3.828,0,0,0,6.976
Lincoln,0.213,25,2,3.579,0,0,3,16.026
Cadillac,1.161,43,20,5.954,0,0,0,5.560
BYD,1.691,20,0,3.941,0,0,0,43.217
Haima,1.563,36,16,1.487,1,0,2,28.526
Luxgen,1.222,52,22,5.302,0,0,3,29.539
Mercury,1.644,30,11,4.988,0,0,0,75.802
Mini,2.319,21,2,2.886,0,0,0,28.178
Alfa Romeo,0.397,29,12,1.210,0,0,2,25.499
Hyundai,0.777,35,13,6.344,0,0,0,48.842
Geely,1.632,28,8,3.011,0,0,2,50.893
BMW,0.831,74,25,2.301,1,0,1,14.992
Renault,1.475,23,1,2.525,1,0,2,64.437
Lexus,1.040,35,14,6.118,0,0,0,51.409
Brilliance,0.197,34,14,0.665,0,0,2,7.848
ZAZ,1.416,33,5,4.076,1,0,0,13.104
Porsche,1.053,27,5,3.616,1,0,1,10.190
Acura,0.889,33,15,5.524,1,0,2,38.356
JAC,0.906,46,1,8.139,1,0,2,34.190
Hyundai,2.429,20,3,4.795,1,0,2,3.932
Ravon,1.948,36,12,9.030,1,0,0,24.039
Geely,0.195,34,9,0.653,0,0,2,4.765
Ford,3.149,39,19,3.582,0,0,3,26.871
Smart,1.527,58,7,6.571,0,0,1,4.250
Renault,0.369,20,1,2.347,0,0,2,4.574
Acura,1.290,21,1,2.289,0,0,2,19.271
Changan,0.573,26,4,0.939,0,0,0,42.402
Nissan,1.130,18,1,0.759,0,0,3,73.176
SsangYong,0.978,42,4,6.527,0,0,1,53.818
Audi,0.639,26,7,0.566,1,1,0,25.697
SEAT,2.272,30,2,0.202,0,0,0,8.752
Alfa Romeo,1.273,29,9,6.425,1,0,0,18.789
Datsun,1.159,59,16,0.322,0,1,0,57.706
Saab,2.023,26,6,4.857,0,0,0,34.159
Porsche,0.460,49,13,0.588,0,1,0,18.397
DS,1.456,33,13,6.131,0,1,1,13.750
SEAT,5.128,20,3,9.038,0,0,1,12.136
Tesla,0.311,19,1,6.351,0,0,1,47.268
Maserati,0.160,44,10,4.596,0,1,2,8.670
ZAZ,2.056,53,16,3.488,0,0,2,34.569
GMC,0.162,38,16,4.870,0,0,0,16.913
Skoda,1.745,26,4,2.175,0,0,2,8.155
JAC,0.648,29,5,0.786,0,0,2,28.269
Skoda,1.834,42,18,2.690,0,0,0,42.872
Land Rover,1.047,26,6,0.696,1,0,1,44.372
Pontiac,2.117,44,9,4.688,0,0,1,54.081
Saab,1.269,28,7,0.399,0,0,0,25.560
Maserati,2.148,27,8,0.495,0,0,1,22.449
Chrysler,0.373,34,5,4.637,1,0,0,16.078
Mazda,1.058,50,3,5.405,1,0,0,59.661
Opel,0.811,20,3,2.258,0,0,2,32.104
Renault,0.329,38,4,2.651,0,0,1,84.070
Geely,0.902,46,11,3.226,0,1,0,25.986
Hyundai,0.342,18,1,8.080,0,0,2,16.337
Volvo,0.259,44,14,2.763,0,0,2,37.211
GAC,1.712,26,6,3.136,0,0,0,24.077
Jeep,1.634,23,5,7.489,0,1,2,13.901
Citroen,0.945,37,10,3.039,0,1,0,41.377
Subaru,0.880,32,2,3.403,1,0,2,57.449
Geely,0.895,48,25,8.332,1,0,0,3.319
Alfa Romeo,2.123,51,16,3.149,0,0,2,89.735
Renault,0.488,28,5,0.605,0,0,0,38.214
Ford,0.685,27,8,1.735,0,0,3,34.803
Lincoln,1.591,25,4,8.344,1,0,0,31.998
Pontiac,1.434,32,14,5.404,0,0,0,36.392
Audi,0.495,23,2,4.016,1,0,0,48.908
Renault,0.875,28,8,2.313,0,0,1,37.337
Rolls-Royce,1.507,42,19,1.821,1,0,2,49.505
FAW,1.786,37,5,3.489,1,0,2,21.996
Lexus,3.962,23,3,5.850,1,0,3,45.680
Mazda,1.939,31,3,3.888,0,0,0,49.555
Skoda,0.212,42,9,6.213,0,0,2,19.918
Dodge,1.494,33,5,0.980,0,0,0,44.036
Ford,1.156,57,21,0.842,0,0,0,32.324
Citroen,1.845,35,9,3.578,0,0,0,17.661
Bentley,0.912,23,5,6.094,0,0,3,20.452
Aston Martin,3.495,41,16,0.689,0,0,2,4.747
Rover,0.462,37,5,1.976,0,0,2,16.504
Mini,1.271,49,18,2.733,0,0,0,42.851
Renault,0.599,41,8,5.235,0,1,0,15.167
Isuzu,1.883,52,16,8.094,1,0,1,4.595
Volkswagen,2.624,22,4,1.702,1,1,0,31.335
Volvo,0.509,50,10,1.023,1,0,1,16.391
Cadillac,0.476,46,16,5.310,0,0,1,34.509
Honda,0.699,40,9,6.052,0,0,3,28.794
Chevrolet,2.940,26,4,6.533,0,0,3,39.253
Alfa Romeo,0.219,26,8,2.431,0,0,0,21.631
Genesis,1.180,45,22,1.018,0,0,2,3.336
Foton,2.141,46,18,5.186,0,0,2,31.261
Maybach,1.660,32,14,1.858,0,0,3,34.303
УАЗ,2.555,25,3,4.965,0,0,0,41.645
Chevrolet,2.457,26,1,1.332,1,0,0,55.700
Infiniti,1.007,50,17,4.559,0,0,0,36.442
Volkswagen,1.509,18,0,3.906,1,0,0,48.548
Rolls-Royce,0.548,39,13,6.026,1,0,0,7.041
Chevrolet,1.266,35,11,6.530,1,0,2,33.062
Ford,1.216,21,3,3.003,1,0,2,15.974
Москвич,0.555,54,18,3.292,1,0,0,39.348
Dodge,0.154,38,15,3.293,0,0,0,51.309
Hyundai,1.209,35,13,3.583,0,0,2,5.584
BMW,1.250,25,8,2.929,0,0,2,39.048
Cadillac,3.444,42,10,4.442,0,0,0,39.135
Infiniti,1.868,66,32,1.871,1,1,1,44.730
Scion,2.596,21,3,2.466,1,0,1,38.606
Genesis,0.617,26,8,2.506,1,0,0,7.743
FAW,0.862,33,1,9.399,0,0,2,9.643
Lamborghini,2.419,42,14,4.962,1,1,0,36.647
Lada (ВАЗ),0.862,26,6,0.060,1,0,0,77.548
Haima,0.461,37,12,4.714,0,1,1,20.259
Haval,1.095,44,17,0.710,0,0,0,47.204
Haima,1.409,27,10,5.923,0,0,2,32.265
Foton,1.360,36,16,1.554,0,0,0,34.708
Москвич,1.114,33,6,4.656,0,0,0,16.125
Changan,0.786,28,2,2.672,0,0,0,15.352
Mazda,1.976,29,2,0.449,1,0,3,31.939
Bentley,1.267,40,20,5.755,0,1,2,31.832
Infiniti,0.710,42,10,3.411,0,0,0,19.192
Москвич,0.539,31,4,2.374,0,0,1,50.248
Lada (ВАЗ),0.876,23,1,2.226,0,0,2,83.762
Citroen,2.672,42,15,3.228,0,0,3,27.256
Jaguar,1.408,23,1,5.492,0,0,2,5.338
Dodge,0.507,28,9,6.005,0,0,1,23.445
ZAZ,1.087,41,10,1.245,1,0,0,33.461
Mazda,0.858,22,1,8.018,1,1,2,41.663
FAW,0.251,24,2,8.806,1,0,2,35.428
ZAZ,1.056,26,2,9.631,1,0,2,45.731
ГАЗ,0.781,23,5,10.149,0,1,0,17.804
Datsun,1.072,37,7,5.763,1,0,2,21.622
Aston Martin,1.131,61,21,0.819,1,0,2,56.514
Lincoln,0.911,51,9,1.041,0,1,0,12.193
Daewoo,0.183,32,4,5.605,1,0,0,22.425
Mercury,0.952,38,15,2.309,1,1,2,33.131
Jeep,1.118,27,3,1.605,0,0,2,24.154
GMC,0.714,19,1,2.932,0,0,0,23.066
Jeep,1.973,28,10,4.726,0,0,2,40.556
Geely,2.133,56,21,0.176,0,0,0,8.132
УАЗ,0.282,48,13,2.385,1,0,3,78.815
Lamborghini,1.363,32,11,4.007,0,0,2,51.914
Mazda,2.107,34,16,2.466,1,0,2,39.266
Ravon,0.963,46,18,4.737,0,0,1,59.220
SsangYong,2.077,44,20,0.598,0,0,2,37.204
Maserati,0.443,23,3,0.750,0,0,2,45.141
Saab,1.855,66,16,5.071,1,0,0,36.287
Foton,2.152,23,5,8.375,0,0,2,10.076
Scion,2.422,20,1,2.787,0,0,2,4.373
Ford,2.406,32,7,0.934,0,0,2,24.492
Peugeot,0.647,44,11,4.829,0,0,1,36.897
Haima,0.920,29,1,2.257,0,0,2,77.719
Hyundai,0.818,40,7,3.625,0,1,0,40.370
FAW,0.650,28,9,5.109,0,0,2,22.411
Mercedes-Benz,0.409,33,10,8.498,0,0,0,32.690
Daihatsu,0.770,24,5,6.162,0,0,1,61.522
Mini,1.763,31,12,6.188,0,0,0,13.484
Buick,0.524,23,0,0.854,0,0,2,36.986
Hummer,0.523,53,12,0.086,0,0,3,28.037
Aston Martin,2.036,42,20,2.521,0,0,0,15.308
Scion,0.398,21,2,1.660,1,0,2,55.007
Oldsmobile,1.226,32,13,4.591,0,0,1,16.651
Chery,0.811,43,20,4.489,1,0,2,35.302
Peugeot,1.380,42,7,3.661,1,1,0,69.485
ZAZ,0.452,35,10,4.730,0,0,2,28.629
Dodge,1.007,30,3,10.967,0,0,2,23.082
Foton,2.126,46,23,1.336,1,0,2,18.629
Mercedes-Benz,1.646,28,9,8.061,1,0,0,64.905
Mercedes-Benz,0.499,41,17,5.936,1,0,0,53.799
Nissan,0.590,20,2,5.376,1,0,2,41.631
Acura,0.403,22,1,4.765,1,0,0,14.168
Lamborghini,0.206,44,22,6.041,0,0,2,26.177
ГАЗ,2.074,28,7,2.714,0,0,2,9.960
Mitsubishi,1.893,36,12,2.995,0,0,1,62.072
Ferrari,2.177,31,11,1.464,1,0,0,64.595
DS,0.914,29,6,5.095,1,0,0,39.596
Skoda,0.733,29,6,5.262,1,0,1,19.041
Buick,0.993,50,21,1.734,0,0,0,57.952
Haima,0.535,40,19,1.013,0,0,2,34.946
Lada (ВАЗ),1.265,39,12,2.359,0,0,2,24.290
Datsun,0.390,43,8,4.412,0,0,2,61.007
Mazda,2.274,29,7,6.018,1,1,0,9.775
Isuzu,0.574,18,0,9.446,0,0,0,32.159
Hyundai,2.372,37,10,0.971,0,0,1,43.661
Dodge,1.372,32,11,7.435,0,0,1,9.419
Lincoln,2.552,26,4,5.494,0,0,1,30.171
Honda,3.027,20,0,4.656,1,0,2,45.583
Ford,1.126,45,9,2.097,0,0,3,19.000
ГАЗ,0.341,41,17,7.789,0,0,0,29.332
Buick,0.609,42,10,5.289,1,1,2,15.269
Ferrari,0.431,38,8,3.297,0,0,0,27.192
Renault,2.531,41,12,6.315,0,0,0,37.715
DS,1.246,41,11,3.111,0,0,3,22.093
Citroen,1.677,37,17,6.226,1,0,0,36.402
Aston Martin,2.518,23,2,2.571,0,0,2,9.438
Genesis,2.120,38,12,3.952,0,0,2,9.017
Chery,0.795,59,19,1.894,0,0,2,6.025
Москвич,1.729,23,5,3.684,1,0,2,33.071
Luxgen,2.827,22,1,6.026,0,0,0,8.321
Nissan,0.670,34,2,4.102,0,0,1,50.842
Peugeot,1.194,46,14,1.998,0,1,0,32.241
Buick,1.963,22,4,1.654,0,0,2,30.273
Cadillac,0.639,32,1,6.633,1,0,0,26.522
Geely,0.698,37,9,4.230,1,0,3,44.254
Ford,1.926,34,11,2.950,1,0,0,46.573
Honda,2.016,32,6,4.250,1,0,0,11.583
Volvo,0.541,34,9,0.463,0,0,2,36.707
Haima,1.057,28,5,2.430,1,0,1,63.720
Great Wall,1.176,31,8,5.370,0,0,0,58.609
Suzuki,0.838,23,6,3.890,0,0,1,8.561
Mazda,1.878,38,20,0.891,1,1,3,19.886
Haima,3.658,44,9,3.526,0,0,2,49.188
Pontiac,0.594,56,22,9.497,0,0,0,28.289
GAC,0.386,46,10,0.387,0,0,3,59.950
Hummer,0.298,31,9,0.224,0,1,0,39.857
SsangYong,2.503,47,27,1.625,1,0,1,19.786
Audi,1.287,50,21,6.609,0,0,0,37.697
Scion,1.543,36,8,2.740,0,0,2,75.721
Cadillac,0.734,56,15,5.693,1,0,3,32.756
DongFeng,0.852,38,7,1.693,0,0,0,11.186
ГАЗ,0.872,47,27,4.683,1,0,2,65.750
DongFeng,0.891,19,0,0.808,1,0,0,10.647
Chery,2.648,26,7,5.758,1,0,2,103.597
Volkswagen,1.507,40,1,0.726,1,0,1,76.974
Honda,2.785,65,24,5.660,0,0,2,6.493
Lamborghini,1.564,45,16,5.415,0,0,2,41.428
Brilliance,2.072,27,7,3.832,0,0,2,8.669
Hummer,3.785,62,12,4.242,1,0,2,11.625
Rover,1.447,18,0,5.092,1,0,2,56.963
Mazda,2.290,24,5,0.957,0,0,0,18.904
Москвич,2.002,43,5,4.098,0,0,2,49.157
Datsun,0.629,57,16,8.699,1,0,2,17.468
Ferrari,1.155,39,8,5.793,1,0,0,16.570
Aston Martin,0.241,52,21,4.943,0,0,1,52.942
Foton,2.518,42,19,1.370,0,1,0,20.961
Audi,2.364,35,14,5.849,1,0,1,44.572
Zotye,2.487,39,9,2.526,0,0,3,16.157
ТагАЗ,1.663,57,16,2.950,0,0,0,92.097
Chrysler,2.337,27,3,0.325,0,0,2,47.327
Toyota,0.193,51,17,2.841,0,0,3,34.458
Toyota,0.378,43,15,2.530,0,0,2,69.262
JAC,1.181,26,5,2.380,1,1,2,58.995
Suzuki,1.394,40,16,7.789,0,0,0,20.141
Chery,0.515,41,11,0.739,0,0,1,25.524
Toyota,0.895,38,9,1.398,0,1,1,58.718
Rolls-Royce,2.977,23,1,1.460,0,0,0,54.929
Buick,2.701,44,26,1.719,1,0,2,64.238
Volkswagen,1.969,21,0,0.186,0,0,2,13.363
Smart,0.326,35,9,6.284,0,0,0,53.479
SsangYong,0.877,29,4,0.726,0,0,0,65.026
Rolls-Royce,0.791,45,11,1.516,0,0,2,43.451
Scion,0.506,67,19,5.234,0,0,1,39.798
Luxgen,2.815,29,3,3.125,0,0,2,63.189
Honda,1.743,23,6,0.610,1,1,0,28.399
BYD,0.935,37,13,8.346,0,0,2,53.325
Lancia,1.395,27,7,2.014,1,0,0,24.581
Honda,1.344,47,15,0.731,0,0,1,28.298
Lada (ВАЗ),2.422,28,2,1.050,0,0,2,68.679
Renault,1.415,60,22,0.286,1,0,1,24.526
